appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
1515950,Capcom Arcade Stadium,"CAPCOM Co., Ltd.",Fighting,$2.3m ($1.2m - $3.4m),$1.8b,481088.0,73.863,1500000.0,0.7449352187171563
629760,MORDHAU,Triternion,Fighting,$73.2m ($51.1m - $95.2m),$73.2m,60204.0,80.57,3500000.0,0.7428589324649688
208650,Batman: Arkham Knight,WB Games,Fighting,$46.3m ($32.8m - $59.9m),$198.6m,25623.0,92.28,3500000.0,0.7257433391463324
1755910,Capcom Arcade 2nd Stadium,"CAPCOM Co., Ltd.",Fighting,$1.8m ($1m - $2.7m),$1.8b,458580.0,59.49,1500000.0,0.725481709901497
851850,DRAGON BALL Z: KAKAROT,Bandai Namco Entertainment Inc.,Fighting,$50m ($34.4m - $65.7m),$237.6m,25715.0,93.01,1500000.0,0.7094795819090228
1384160,GUILTY GEAR -STRIVE-,Arc System Works,Fighting,$46m ($30.3m - $61.7m),$87.6m,30939.0,88.8,1500000.0,0.7055039505826293
1778820,TEKKEN 8,Bandai Namco Entertainment,Fighting,$64.3m ($45.5m - $83m),$1.7b,46139.0,55.7,1500000.0,0.7022841808117624
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,BANDAI NAMCO Entertainment,Fighting,$53.1m ($34.7m - $71.5m),$478.1m,8372.0,90.86,3500000.0,0.6954214661756686
323470,DRAGON BALL XENOVERSE,BANDAI NAMCO Entertainment,Fighting,$23m ($17.5m - $28.6m),$478.1m,22782.0,89.77,1500000.0,0.694183949331874
454650,DRAGON BALL XENOVERSE 2,Bandai Namco Entertainment,Fighting,$30.9m ($23m - $38.9m),$1.7b,13570.0,90.23,1500000.0,0.6883203974278276
1971870,Mortal Kombat 1,Warner Bros. Games,Fighting,$39m ($28.3m - $49.7m),$882.3m,26576.0,72.67,750000.0,0.6765843710964592
629730,Blade and Sorcery,WarpFrog,Fighting,$36.8m ($26.9m - $46.6m),$36.8m,10235.0,96.71,1500000.0,0.6722014740358906
775500,SCARLET NEXUS,BANDAI NAMCO Entertainment,Fighting,$22.1m ($14.5m - $29.7m),$478.1m,14479.0,81.52,1500000.0,0.6712927739032608
200260,Batman: Arkham City - Game of the Year Edition,WB Games,Fighting,$10.5m ($6.6m - $14.3m),$198.6m,6822.0,95.88,3500000.0,0.6667794237249421
35140,Batman: Arkham Asylum Game of the Year Edition,WB Games,Fighting,$10m ($6.1m - $13.8m),$198.6m,6739.0,96.13,3500000.0,0.6659413214066044
